exchange_nr,source,company,means_of_exchange,ship_captain,orig_date_src,orig_yr,orig_date,orig_exact_date_yn,orig_loc_port_arch,orig_loc_region_arch,orig_loc_port_modern,orig_loc_region_modern,orig_loc_lat,orig_loc_long,dest_date_src,dest_yr,dest_date,dest_exact_date_yn,dest_loc_port_arch,dest_loc_region_arch,dest_loc_port,dest_loc_region,dest_loc_lat,dest_loc_long,textile_quantity,textile_unit,els_per_ps,supplier,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,ship_doc_total_arch,shipment_total_value,shipment_currency,total_value_guldens,total_value_stuivers,total_value_penningen,total_value_currency,total_value_other,ps_value_gulden,ps_value_stuivers,ps_value_penningen,ps_value_currency,additional_text_from_doc,notes_other,Header Explanations:,https://docs.google.com/document/d/1W-NAkej9EjnrHQ8eWbuQmRMpPWRRxE5yiBXP4A7atO4/edit?usp=sharing
2003125,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,960,ps.,NA,NA,NA,NA,dungarees,gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,1938,15,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003141,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,3,ps.,NA,NA,NA,NA,everdoek,wit,white,NA,NA,NA,NA,NA,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,234,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003131,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,400,ps.,NA,NA,NA,NA,gerras,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,1176,16,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003126,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,NA,NA,NA,NA,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,200,ps.,NA,NA,NA,NA,ginghams,pinasse Kust,NA,NA,NA,NA,NA,Coast (presumed Coromandel),NA,pinasse,NA,"224221,14,8","224221,14,8",Indian Guilders,857,3,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003117,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,600,ps.,NA,NA,NA,NA,guinea-stuffs,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,5961,7,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003118,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,200,ps.,NA,NA,NA,NA,guinea-stuffs,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,2930,19,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003138,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,NA,NA,NA,NA,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,500,ps.,NA,NA,NA,NA,guni,lang Bengaals,NA,NA,NA,NA,NA,Bengal,NA,long,NA,"224221,14,8","224221,14,8",Indian Guilders,120,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003139,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,79,ps.,NA,NA,NA,NA,hoed,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,223,5,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003136,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,1000,ps.,NA,NA,NA,NA,karicams,rood Surats,red,NA,NA,NA,NA,Surat,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,2403,12,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003127,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,100,ps.,NA,NA,NA,NA,muris,gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,896,6,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003137,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,720,ps.,NA,NA,NA,NA,nickanees,Surats,NA,NA,NA,NA,NA,Surat,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,1426,1,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003122,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,320,ps.,NA,NA,NA,NA,percallen,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,744,5,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003130,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,100,ps.,NA,NA,NA,NA,photaes,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,630,14,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003121,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,100,ps.,NA,NA,NA,NA,salempores,fijn gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),fine,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,886,4,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003119,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,640,ps.,NA,NA,NA,NA,salempores,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,2901,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003120,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,400,ps.,NA,NA,NA,NA,salempores,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,2383,11,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003143,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,90,ps.,NA,NA,NA,NA,vlaggendoek,Tuticorins,NA,NA,NA,NA,NA,Tuticorin (Coromandel Coast),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,315,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003145,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,16,lb.,NA,NA,NA,NA,yarn,grof Hollands,NA,NA,NA,NA,NA,Holland,coarse,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,24,16,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003146,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,60,lb.,NA,NA,NA,NA,yarn,katoenen,NA,NA,NA,NA,cotton,NA,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,12,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003140,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,100,lb.,NA,NA,NA,NA,zeilgaren,Hollands,NA,NA,NA,NA,NA,Holland,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,50,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
11359,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,841,ps.,14,Simpson,NA,NA,perpetuanen,"""smalle blauwe perpetuanen…met ververn en perssen""",blue,NA,narrow,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,37845,0,0,guilders,NA,4,10,0,guilders,NA,NA,NA,NA
11360,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,64,ps.,14,Simpson,NA,NA,perpetuanen,"""smalle geele perpetuanen…met ververn en perssen""",yellow,NA,narrow,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,288,0,0,guilders,NA,4,10,0,guilders,NA,NA,NA,NA
11361,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,124,ps.,14,Simpson,NA,NA,perpetuanen,"""smalle groene perpetuanen…met ververn en perssen""",green,NA,narrow,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,558,0,0,guilders,NA,4,10,0,guilders,NA,NA,NA,NA
11362,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,39,ps.,14,Simpson,NA,NA,perpetuanen,"""smalle rood perpetuanen…met ververn en perssen""",red,NA,narrow,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,175.5,0,0,guilders,NA,4,10,0,guilders,NA,NA,NA,NA
11363,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,161,ps.,14,Simpson,NA,NA,perpetuanen,"""breede blauwe…met verven en persen""",blue,NA,broad,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,893.55,0,0,guilders,NA,5,11,0,guilders,NA,NA,NA,NA
11364,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,78,ps.,14,Simpson,NA,NA,perpetuanen,"""Breede groene perpetuanen…met verwen en parssen""",green,NA,broad,verven and persen,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,432.9,0,0,guilders,NA,5,11,0,guilders,NA,NA,NA,NA
11365,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,301,ps.,NA,Le Poetre,NA,NA,saai,"""Leidse saaiyen""",NA,NA,NA,NA,NA,Leiden,NA,NA,NA,"24635,0,0","50890,0,0",guilders,7675,10,0,guilders,NA,25.5,0,0,guilders,NA,NA,NA,NA
11358,WIC_1.05.01.02_1301_192-195,WIC,Acredam,Rijk Hagerop,hdh,1720,1720-9-28,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1721,NA,NA,Elmina,NA,Elmina,Ghana,5.0847,-1.35093,40,rolls,NA,Pieter Pieterszoon,NA,NA,sailcloth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24635,0,0","50890,0,0",guilders,920,0,0,guilders,NA,23,0,0,guilders,NA,total according to hdh,NA,NA
11337,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,25,schok,42,Jacob van Hoorn,NA,NA,atlassen,"""inlandse atlassen""",NA,NA,NA,NA,NA,inlandse,NA,NA,NA,"39000,0,0","39000,0,0",guilders,650,12,8,guilders,NA,0,12.5,0,guilders,per el,NA,NA,NA
11342,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,17,ps.,44,Pieter Six,NA,NA,atlassen,"""gebloemde atlassen""",NA,NA,flowered,NA,NA,NA,NA,NA,NA,"39000,0,0","39000,0,0",guilders,668,14,0,guilders,NA,0,18,0,guilders,per el,NA,NA,NA
11343,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,8,ps.,43,Pieter Six,NA,NA,atlassen,"""ditto effene""",NA,NA,plain,NA,NA,NA,NA,NA,NA,"39000,0,0","39000,0,0",guilders,224,18,0,guilders,NA,0,13,0,guilders,per el,NA,NA,NA
11333,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,80,ps.,NA,VOC,NA,NA,baftas,"""zwarte""",black,NA,NA,NA,NA,NA,NA,NA,NA,"39000,0,0","39000,0,0",guilders,690,0,0,guilders,NA,8.625,0,0,guilders,NA,NA,NA,NA
1000265,WIC_1.05.01.02_1299_223-225,WIC,Adrichem,Pieter Goethals,NA,1718,1718-04-28,n,Zeeland,NA,Vlissingen,Netherlands,51.455681,3.57649,sv,1718,1718-08-14,NA,Elmina,Guinea,Elmina,Ghana,5.0847,-1.35093,166,ps.,NA,Thomas Parker,NA,NA,blankets,Groene genopte dekens,Green,NA,NA,NA,NA,NA,NA,genopte???,NA,44302.8.0,90660,guilders,506,6,0,guilders,NA,0,61,0,guilders,NA,Price per piece,NA,HDH 90660 - has totalled cargo three archival documents
11332,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,400,ps.,NA,VOC,NA,NA,broulissen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39000,0,0","39000,0,0",guilders,1115,0,0,guilders,NA,0,55.75,0,guilders,NA,NA,NA,NA
1000273,WIC_1.05.01.02_1299_226-228,WIC,Adrichem,Pieter Goethals,NA,1718,1718-04-28,n,Zeeland,NA,Vlissingen,Netherlands,51.455681,3.57649,sv,1718,1718-08-14,NA,Ardra,Guinea,Ardra,Benin,6.47216,2.62652,228,ps.,NA,Wed? Beukelaar,NA,NA,caffa,Caffaan,NA,NA,NA,NA,NA,NA,NA,NA,NA,45498.5.0,90660,guilders,2268,2,0,guilders,NA,9,19,0,guilders,NA,Price per piece,NA,HDH 90660 - has totalled cargo three archival documents
11338,WIC_1.05.01.02_1301_163-165,WIC,Adrichem,Pieter Oversluijs,hdh,1720,1720-2-2,y,NA,NA,Texel,Netherlands,53.053921,4.79605,est,1720,NA,NA,Elmina and Ardra,NA,Elmina,Ghana,5.0847,-1.35093,43,ps.,25.5,Jacob van Hoorn,NA,NA,chintz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39000,0,0","39000,0,0",guilders,616,7,0,guilders,NA,0,11.25,0,guilders,per el,NA,NA,NA
1000276,WIC_1.05.01.02_1299_226-228,WIC,Adrichem,Pieter Goethals,NA,1718,1718-04-28,n,Zeeland,NA,Vlissingen,Netherlands,51.455681,3.57649,sv,1718,1718-08-14,NA,Ardra,Guinea,Ardra,Benin,6.47216,2.62652,100,ps.,12.5,Jacob Thijssen,NA,NA,Chintz,Inlandse chitsen,NA,NA,NA,NA,NA,Native,NA,NA,NA,45498.5.0,90660,guilders,653,12,8,guilders,NA,0,10.5,0,guilders,NA,1245 el total / price per el,5 el shorter than total el should be (100 pieces at 12.5 el = 1250),HDH 90660 - has totalled cargo three archival documents
1000275,WIC_1.05.01.02_1299_226-228,WIC,Adrichem,Pieter Goethals,NA,1718,1718-04-28,n,Zeeland,NA,Vlissingen,Netherlands,51.455681,3.57649,sv,1718,1718-08-14,NA,Ardra,Guinea,Ardra,Benin,6.47216,2.62652,18,ps.,NA,Wed? Beukelaar,NA,NA,graatjes,Witte graten,White,NA,NA,NA,NA,NA,NA,NA,NA,45498.5.0,90660,guilders,153,0,0,guilders,NA,8.5,0,0,guilders,NA,Price per piece,NA,HDH 90660 - has totalled cargo three archival documents
